Nekopara|ED|2|https://nl.catbox.video/tpqsmb.webm|Honto no Kokoro|Miku Itou|21.7|106863|Nekopara|https://nl.catbox.video/3k8z2s.mp3
Uchi Tama!?: Uchi no Tama Shirimasen ka?|ED|2|https://nl.catbox.video/n19osj.webm|Rainy Bull|Tomoaki Maeno|14.1|109964|Uchitama?! Have You Seen My Tama?|https://nl.catbox.video/7r0yut.mp3
22/7|ED|9|https://nl.catbox.video/65q5kx.webm|Kodoku wa Kirai ja Nai|Uta Kawase|23.5|99807|22/7 (Nanabun no Nijyuuni)|https://nl.catbox.video/ddcwyb.mp3
Tenchi Muyou! Ryououki|ED|1|https://nl.catbox.video/9hhzw7.webm|Gravitation=LOVE|Kaori Oda|13.0|114442|Tenchi Muyo! Ryo-Ohki|https://nl.catbox.video/df2ope.mp3
22/7|ED|3|https://nl.catbox.video/wmvw9v.webm|Ikirukoto ni Raku ni Naritai|Sally Amaki|21.6|99807|22/7 (Nanabun no Nijyuuni)|https://nl.catbox.video/6hvgwe.mp3
Uchi Tama!?: Uchi no Tama Shirimasen ka?|ED|11|https://nl.catbox.video/uvt11r.webm|3-choume no Theme|3-choume All Stars|19.8|109964|Uchitama?! Have You Seen My Tama?|https://nl.catbox.video/2x1d0z.mp3
Cinderella Girls Gekijou: Extra Stage|ED|16|https://nl.catbox.video/31ai3a.webm|Mangan Jouju♪ Miko no Kamidanomi!|Hiyori Nitta|17.2|115519|The iDOLM@STER Cinderella Girls Theater: Extra Stage|https://nl.catbox.video/vny5gf.mp3
22/7|ED|1|https://nl.catbox.video/1lx500.webm|Sora no Emerald|22/7|28.5|99807|22/7 (Nanabun no Nijyuuni)|https://nl.catbox.video/fof6r6.mp3
Toaru Kagaku no Railgun T|ED|2|https://nl.catbox.video/sdig6t.webm|Aoarashi no Ato de|sajou no hana|28.5|104462|A Certain Scientific Railgun T|https://nl.catbox.video/vivcgp.mp3
Made in Abyss: Fukaki Tamashii no Reimei|ED|1|https://nl.catbox.video/vpr7qa.webm|FOREVER LOST|MYTH & ROID|40.0|100643|Made in Abyss: Dawn of the Deep Soul|https://nl.catbox.video/g4yhsf.mp3
Goblin Slayer: Goblin's Crown|ED|1|https://nl.catbox.video/bbmfue.webm|Static|Mili|44.1|108623|Goblin Slayer: Goblin's Crown|https://nl.catbox.video/p6vh7f.mp3
MAN WITH A MISSION The Animation|ED|1|https://nl.catbox.video/7qlr1i.webm|DON'T LOSE YOURSELF|MAN WITH A MISSION|47.4|119592|MAN WITH A MISSION The Animation|https://nl.catbox.video/heijhs.mp3
BanG Dream! 3rd Season|ED|2|https://nl.catbox.video/lfgs99.webm|FIRE BIRD|Roselia|53.3|101634|BanG Dream! 3rd Season|https://nl.catbox.video/4twjch.mp3
22/7|ED|2|https://nl.catbox.video/jgiszs.webm|One of them|Nagomi Saijou|29.1|99807|22/7 (Nanabun no Nijyuuni)|https://nl.catbox.video/29jscx.mp3
Id: Invaded|ED|1|https://nl.catbox.video/j6wn6l.webm|Other Side|MIYAVI|47.5|110350|Id: Invaded|https://nl.catbox.video/pkfyqw.mp3
Healin' Good♡Precure|ED|1|https://nl.catbox.video/u212pq.webm|Miracle-tto♥Link Ring!|Machico|26.7|112748|Healin' Good Pretty Cure|https://nl.catbox.video/6eh8f4.mp3
Haikyu!! To the Top|ED|1|https://nl.catbox.video/rkb4w3.webm|Kessen Spirit|CHiCO with HoneyWorks|46.8|106625|Haikyu!! To the Top|https://nl.catbox.video/uhpnrm.mp3
Rebirth|ED|7|https://nl.catbox.video/inxzi5.webm|Rebirth GO!|Momoyo Koyama & Yuka Nishio|27.9|113469|Rebirth|https://nl.catbox.video/01952l.mp3
Heya Camp△|ED|1|https://nl.catbox.video/hkvfxt.webm|The Sunshower|Asaka|58.9|104461|Room Camp|https://nl.catbox.video/3o6hia.mp3
Nekopara|ED|1|https://nl.catbox.video/6b64q4.webm|Hidamari no Kaori|Yuki Yagi & Iori Saeki|33.4|106863|Nekopara|https://nl.catbox.video/vyrvuk.mp3
Dorohedoro|ED|6|https://nl.catbox.video/z9xssy.webm|404|(K)NoW_NAME:NIKIIE & AIJ|39.4|105228|Dorohedoro|https://nl.catbox.video/txubzk.mp3
Isekai Quartet 2|ED|1|https://nl.catbox.video/d58c2r.webm|Ponkotsu! Isekai Theater|Sumire Uesaka, Rie Takahashi, Inori Minase, Saori Hayami|31.4|110178|Isekai Quartet 2|https://nl.catbox.video/ls8d4f.mp3
Dorohedoro|ED|3|https://nl.catbox.video/timams.webm|D.D.D.D.|(K)NoW_NAME:NIKIIE|49.2|105228|Dorohedoro|https://nl.catbox.video/wj2npw.mp3
Kotodama Shoujo the Animation: Microphone soul spinners|ED|3|https://nl.catbox.video/wir224.webm|Kurokami Liberation|Marina Tanoue|27.0|110495|Kotodama Shoujo the Animation: Microphone soul spinners|https://nl.catbox.video/vr386a.mp3
Koi Suru Asteroid|ED|1|https://nl.catbox.video/wwnkt2.webm|Yozora|Minori Suzuki|27.0|108092|Asteroid in Love|https://nl.catbox.video/fipwr5.mp3
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden|ED|1|https://nl.catbox.video/cu86yj.webm|Alethea|ClariS|35.6|104051|Magia Record: Puella Magi Madoka Magica Side Story|https://nl.catbox.video/4v2ngm.mp3
Dorohedoro|ED|4|https://nl.catbox.video/bisix3.webm|Strange Meat Pie|(K)NoW_NAME:Ayaka Tachibana|42.5|105228|Dorohedoro|https://nl.catbox.video/agb117.mp3
22/7|ED|7|https://nl.catbox.video/fvos9k.webm|Kanjou Muyouron|Kanae Shirosawa|25.2|99807|22/7 (Nanabun no Nijyuuni)|https://nl.catbox.video/7nnkwb.mp3
Oshi ga Budoukan Ittekuretara Shinu|ED|1|https://nl.catbox.video/c56vnp.webm|♡Momo-iro Kataomoi♡|Fairouz Ai|30.3|104391|If My Favorite Pop Idol Made It to the Budokan, I Would Die|https://nl.catbox.video/hier0a.mp3
Kyokou Suiri|ED|1|https://nl.catbox.video/azll8p.webm|LAST DANCE|Mamoru Miyano|44.9|107201|In/Spectre|https://nl.catbox.video/r3dh8q.mp3
Healin' Good♡Precure|ED|2|https://nl.catbox.video/0g5kex.webm|Everybody☆Healin' Good Day!|Kanako Miyamoto|31.2|112748|Healin' Good Pretty Cure|https://nl.catbox.video/3kwnjk.mp3
Dorohedoro|ED|2|https://nl.catbox.video/tugpn2.webm|Night SURFING|(K)NoW_NAME:Ayaka Tachibana|41.5|105228|Dorohedoro|https://nl.catbox.video/03llsp.mp3
Strike the Blood: Kieta Seisou-hen|ED|2|https://nl.catbox.video/2okyou.webm|Akatsuki no Kaleido Blood|Kishida Kyoudan &THE Akeboshi Rockets|35.1|112324|Strike the Blood: Kieta Seisou-hen|https://nl.catbox.video/i5yy7v.mp3
Dorohedoro|ED|5|https://nl.catbox.video/i7edi3.webm|SECONDs FLY|(K)NoW_NAME:NIKIIE|38.8|105228|Dorohedoro|https://nl.catbox.video/ik2pds.mp3
Rebirth|ED|6|https://nl.catbox.video/u2d6nh.webm|Rebirth GO!|twinkle♡way|28.9|113469|Rebirth|https://nl.catbox.video/qyd99i.mp3
Darwin's Game|ED|1|https://nl.catbox.video/em0u48.webm|Alive|Mashiro Ayano|34.4|105190|Darwin's Game|https://nl.catbox.video/fk58me.mp3
Toaru Kagaku no Railgun T|ED|1|https://nl.catbox.video/a82xnh.webm|nameless story|Kishida Kyoudan &THE Akeboshi Rockets|31.3|104462|A Certain Scientific Railgun T|https://nl.catbox.video/ujnakw.mp3
Somali to Mori no Kamisama|ED|1|https://nl.catbox.video/ityuqv.webm|Kokoro Somali|Inori Minase|26.4|108617|Somali and the Forest Spirit|https://nl.catbox.video/89z793.mp3
Eizouken ni wa Te o Dasu na!|ED|1|https://nl.catbox.video/ilai9r.webm|Namae no Nai Ao|Kamisama, Boku wa Kizuite Shimatta|35.2|109298|Keep Your Hands Off Eizouken!|https://nl.catbox.video/6p6um6.mp3
Jibaku Shounen Hanako-kun|ED|1|https://nl.catbox.video/424qhk.webm|Tiny Light|Akari Kitou|27.2|108463|Toilet-Bound Hanako-kun|https://nl.catbox.video/58wuc4.mp3
Show By Rock!! Mashumairesh!!|ED|1|https://nl.catbox.video/rz8rzi.webm|Kimi no Rhapsody|Mashumairesh!!|25.5|113470|Show By Rock!! Mashumairesh!!|https://nl.catbox.video/y5citf.mp3
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.|ED|1|https://nl.catbox.video/wc3t22.webm|Play the world|Rico Sasaki|35.2|106479|BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.|https://nl.catbox.video/5mxgua.mp3
Rikei ga Koi ni Ochita no de Shoumei Shitemita.|ED|1|https://nl.catbox.video/nj5k54.webm|Turing Love|Akari Nanawo feat. Sou|54.2|107067|Science Fell in Love, So I Tried to Prove It|https://nl.catbox.video/qjkbxg.mp3
BanG Dream! 3rd Season|ED|3|https://nl.catbox.video/9wa7og.webm|Yume o Uchinuku Shunkan ni!|Poppin'Party×Roselia×RAISE A SUILEN|36.0|101634|BanG Dream! 3rd Season|https://nl.catbox.video/obspfq.mp3
Dorohedoro|ED|1|https://nl.catbox.video/i7swn3.webm|Who am I?|(K)NoW_NAME:Ayaka Tachibana & NIKIIE|47.9|105228|Dorohedoro|https://nl.catbox.video/yp1qrw.mp3
Girls und Panzer das Finale|ED|1|https://nl.catbox.video/qu8mxx.webm|Enter Enter MISSION! Saishuushou ver.|Ankou Team|35.9|144803|Girls und Panzer das Finale|https://nl.catbox.video/nbwaly.mp3
